Element,Coldate,Site,FC,WatchList,ActionList,Latitude,Longitude,E.Coli,Turbidity,Watch_Action
ICS1.1,10/15/2020,MC14A,376,ok,ok,35.298525,-80.979023,416,19,ok
ICS1.1,10/15/2020,MC17,390,ok,ok,35.240055,-80.974699,389,19,ok
ICS1.1,10/13/2020,MC22A,2400,ok,ok,35.197895,-80.904612,717,15,ok
ICS1.1,10/13/2020,MC25,1130,ok,ok,35.145514,-80.926682,754,37,Watch
ICS1.1,10/13/2020,MC27,2600,ok,ok,35.090525,-80.899406,2142,65,Action
ICS1.1,10/13/2020,MC29A1,6600,ok,ok,35.204786,-80.836989,7701,12,ok
ICS1.1,10/13/2020,MC33,813,ok,ok,35.174037,-80.833178,637,12,ok
ICS1.1,10/13/2020,MC38,2100,ok,ok,35.137241,-80.76818,1137,32,Watch
ICS1.1,10/13/2020,MC38,1940,ok,ok,35.137241,-80.76818,1130,32,Watch
ID4.1,10/15/2020,MC4,188,ok,ok,35.389623,-80.921059,173,30,Watch
ID4.1,10/15/2020,MC4,230,ok,ok,35.389623,-80.921059,210,29,Watch
ICS1.1,10/13/2020,MC40A,2200,ok,ok,35.077015,-80.822444,1541,32,Watch
ICS1.1,10/13/2020,MC42,1750,ok,ok,35.14089,-80.820081,1076,23,ok
ICS1.1,10/13/2020,MC45,1940,ok,ok,35.066403,-80.869837,1616,30,Watch
ICS1.1,10/13/2020,MC45,2050,ok,ok,35.066403,-80.869837,1465,30,Watch
ICS1.1,10/13/2020,MC47A,2500,ok,ok,35.104679,-80.953858,959,27,Watch
ICS1.1,10/13/2020,MC49A,2000,ok,ok,35.084994,-80.88219,1050,17,ok
ID4.1,10/15/2020,MC50,230,ok,ok,35.361375,-80.897666,218,7,ok
ICS1.1,10/13/2020,MC51,813,ok,ok,35.01031483,-80.828258,906,34,Watch
ID4.1,10/15/2020,MY10,585,Watch,ok,35.413972,-80.752087,462,55,Action
ICS1.1,10/15/2020,MY11B,550,ok,ok,35.332304,-80.715808,411,24,ok
ICS1.1,10/15/2020,MY12B,230,ok,ok,35.309424,-80.682435,236,9,ok
ICS1.1,10/15/2020,MY13,445,ok,ok,35.259081,-80.662587,273,45,Watch
ID4.1,10/15/2020,MY1B,360,ok,ok,35.459743,-80.780104,436,20,ok
ICS1.1,10/15/2020,MY7B,580,ok,ok,35.253916,-80.648071,489,110,Action
ICS1.1,10/15/2020,MY7B,520,ok,ok,35.253916,-80.648071,416,110,Action
ID4.1,10/15/2020,MY8,475,ok,ok,35.208353,-80.579739,345,55,Action
ID4.1,10/15/2020,MY9,200,ok,ok,35.130785,-80.631151,235,7,ok
